id,customer_id,customer_name,amount,due_date,days_overdue,past_default_count,dnc_flag,status,contact_count
INV-0001,CUS-0001,Customer 1,31000,2026-06-02,7,1,0,open,1
INV-0002,CUS-0002,Customer 2,32000,2026-06-03,14,2,0,open,2
INV-0003,CUS-0003,Customer 3,33000,2026-06-04,21,0,0,open,0
INV-0004,CUS-0004,Customer 4,34000,2026-06-05,28,1,0,open,1
INV-0005,CUS-0005,Customer 5,35000,2026-06-06,35,2,0,open,2
INV-0006,CUS-0006,Customer 6,36000,2026-06-07,42,0,0,open,0
INV-0007,CUS-0007,Customer 7,37000,2026-06-08,49,1,0,open,1
INV-0008,CUS-0008,Customer 8,38000,2026-06-09,56,2,0,open,2
INV-0009,CUS-0009,Customer 9,39000,2026-06-10,63,0,0,open,0
INV-0010,CUS-0010,Customer 10,40000,2026-06-11,70,1,0,open,1
INV-0011,CUS-0011,Customer 11,721301,2026-06-12,77,2,1,open,2
INV-0012,CUS-0012,Customer 12,768692,2026-06-13,84,0,1,open,0
INV-0013,CUS-0013,Customer 13,816083,2026-06-14,0,1,1,open,1
INV-0014,CUS-0014,Customer 14,863474,2026-06-15,7,2,1,open,2
INV-0015,CUS-0015,Customer 15,910865,2026-06-16,14,0,1,open,0
INV-0016,CUS-0016,Customer 16,958256,2026-06-17,21,1,1,open,1
INV-0017,CUS-0017,Customer 17,1005647,2026-06-18,28,2,1,open,2
INV-0018,CUS-0018,Customer 18,1053038,2026-06-19,35,0,1,open,0
INV-0019,CUS-0019,Customer 19,1100429,2026-06-20,42,1,1,open,1
INV-0020,CUS-0020,Customer 20,1147820,2026-06-21,49,2,1,open,2
INV-0021,CUS-0021,Customer 21,1195211,2026-06-22,56,0,0,open,0
INV-0022,CUS-0022,Customer 22,1242602,2026-06-23,63,1,0,open,1
INV-0023,CUS-0023,Customer 23,1289993,2026-06-24,70,2,0,open,2
INV-0024,CUS-0024,Customer 24,1337384,2026-06-25,77,0,0,open,0
INV-0025,CUS-0025,Customer 25,1384775,2026-06-26,84,1,0,open,1
